line,character,dialogue,Russian,Hindi
394,HAN,Scoundrel? Scoundrel? I like the sound of that.,График?График?Мне нравится звук этого.,बदमाश?बदमाश?मुझे उसकी आवाज़ पसंद आई।
395,LEIA,Stop that.,Прекрати это.,बंद करो।
396,HAN,Stop what?,Стоп что?,क्या रोकें?
397,LEIA,Stop that! My hands are dirty.,Прекрати это!Мои руки грязные.,बंद करो!मेरे हाथ गंदे है।
398,HAN,"My hands are dirty, too. What are you afraid of?",Мои руки тоже грязные.Чего вы боитесь?,मेरे हाथ गंदे भी हैं।आप किस बात से भयभीत हैं?
399,LEIA,Afraid?,Испуганный?,डरना?
400,HAN,You're trembling.,Ты дрожаешь.,तुम कांप रहे हो।
401,LEIA,I'm not trembling.,Я не дрожу.,मैं कांप नहीं रहा हूँ।
402,HAN,You like me because I'm a scoundrel. There aren't enough  scoundrels in your life.,"Я тебе нравлюсь, потому что я негодяй.В вашей жизни не хватает негодяев.",आप मुझे पसंद करते हैं क्योंकि मैं एक बदमाश हूं।आपके जीवन में पर्याप्त बदमाश नहीं हैं।
403,LEIA,I happen to like nice men.,Мне нравятся красивые мужчины.,मुझे अच्छे आदमी पसंद हैं।
404,HAN,I'm a nice man.,Я хороший человек.,मैं एक अच्छा आदमी हूँ।
405,LEIA,"No, you're not. You're...","Нет, ты не.Вы...",नहीं आप नहीं हैं।तुम ...
406,THREEPIO,"Sir, sir! I've isolated the reverse power flux coupling.","Сэр, сэр!Я изолировал связь с обратным потоком мощности.","सर, सर!मैंने रिवर्स पावर फ्लक्स कपलिंग को अलग कर दिया है।"
407,HAN,Thank you. Thank you very much.,Спасибо.Большое спасибо.,धन्यवाद।आपका बहुत-बहुत धन्यवाद।
408,THREEPIO,"Oh, you're perfectly welcome, sir.","О, добро пожаловать, сэр.","ओह, आप पूरी तरह से स्वागत करते हैं, सर।"
409,NEEDA,"...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we've sustained, they must have been destroyed.","... и это, лорд Вейдер, был последний раз, когда они появлялись в любой из наших областей.Учитывая количество ущерба, которое мы получили, они, должно быть, были уничтожены.","... और वह, लॉर्ड वाडर, आखिरी बार थे जब वे हमारे किसी भी स्कोप में दिखाई दिए थे।हमारे द्वारा जारी नुकसान की मात्रा को ध्यान में रखते हुए, वे नष्ट हो गए होंगे।"
410,VADER,"No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found.","Нет, капитан, они живы.Я хочу, чтобы каждый корабль был доступен, чтобы подметать астероидное поле, пока они не найдут.","नहीं, कप्तान, वे जीवित हैं।मैं चाहता हूं कि हर जहाज क्षुद्रग्रह क्षेत्र को तब तक उपलब्ध करे जब तक वे पाए जाते हैं।"
411,PIETT,Lord Vader.,Лорд Отец.,भगवान पिता।
412,VADER,"Yes, Admiral, what is it?","Да, адмирал, что это?","हाँ, एडमिरल, यह क्या है?"
413,PIETT,The Emperor commands you make contact with him.,Команды Императора вы связываете с ним.,सम्राट कमांड आप उससे संपर्क करते हैं।
414,VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.,"Переместите корабль из поля астероида, чтобы мы могли отправить четкую передачу.",जहाज को क्षुद्रग्रह क्षेत्र से बाहर ले जाएं ताकि हम एक स्पष्ट ट्रांसमिशन भेज सकें।
415,PIETT,"Yes, my lord.",Да мой Лорд.,जी महाराज।
416,VADER,"What is thy bidding, my master?","Что у тебя, черт возьми, мой хозяин?","तेरा बोली, मेरे गुरु क्या है?"
417,EMPEROR,There is a great disturbance in the Force.,В силе есть большое беспокойство.,बल में एक बड़ी गड़बड़ी है।
418,VADER,I have felt it.,Я это чувствовал.,मैंने इसे महसूस किया है।
419,EMPEROR,We have a new enemy -- Luke Skywalker.,У нас есть новый враг - Люк Скайуокер.,हमारे पास एक नया दुश्मन है - ल्यूक स्काईवॉकर।
420,VADER,"Yes, my master.","Да, мой хозяин.","हाँ, मेरे गुरु।"
421,EMPEROR,He could destroy us.,Он мог уничтожить нас.,वह हमें नष्ट कर सकता था।
422,VADER,He's just a boy. Obi-Wan can no longer help him.,Он просто мальчик.Оби-Ван больше не может ему помочь.,वह सिर्फ एक लड़का है।ओबी-वान अब उसकी मदद नहीं कर सकते।
423,EMPEROR,The Force is strong with him. The son of Skywalker must not  become a Jedi.,Сила сильна с ним.Сын Скайуокера не должен стать джедаем.,बल उसके साथ मजबूत है।स्काईवॉकर के बेटे को जेडी नहीं बनना चाहिए।
424,VADER,"If he could be turned, he would become a powerful ally.","Если бы он мог быть повернут, он стал бы могущественным союзником.","अगर उसे मोड़ दिया जा सकता है, तो वह एक शक्तिशाली सहयोगी बन जाएगा।"
425,EMPEROR,Yes. Yes. He would be a great asset. Can it be done?,Да.Да.Он был бы отличным активом.Можно ли сделать это?,हाँ।हाँ।वह एक बड़ी संपत्ति होगी।क्या यह किया जा सकता है?
426,VADER,"He will join us or die, my master.","Он присоединится к нам или умрет, мой хозяин.","वह हमारे साथ जुड़ जाएगा या मर जाएगा, मेरे गुरु।"
427,LUKE,"Look, I'm sure it's delicious. I just don't understand why we  can't see Yoda now.","Слушай, я уверен, что это вкусно.Я просто не понимаю, почему мы сейчас не видим Йоду.","देखिए, मुझे यकीन है कि यह स्वादिष्ट है।मुझे अभी समझ नहीं आ रहा है कि हम अब योदा क्यों नहीं देख सकते।"
428,CREATURE,"Patience! For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm? Good, hmm?","Терпение!Для джедаев пришло время поесть.Ешь ешь.Горячий.Хорошая еда, HM?Хорошо, хм?","धैर्य!जेडी के लिए यह खाने का समय भी है।खाओ खाओ।गर्म।अच्छा खाना, एचएम?अच्छा, हम्म?"
429,LUKE,How far away is Yoda? Will it take us long to get there?,"Как далеко йода?Потребуется ли нам много времени, чтобы добраться туда?",योदा कितनी दूर है?क्या हमें वहां पहुंचने में लंबा समय लगेगा?
430,CREATURE,"Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi? Hm?","Недалеко.Йода недалеко.Терпение.Скоро ты будешь с ним.Rootleaf, я готовлю.Зачем желать вам стать джедаем?HM?","दूर नहीं।योदा दूर नहीं।धैर्य।जल्द ही आप उसके साथ रहेंगे।रूटलीफ, मैं खाना बनाती हूं।क्यों आप जेडी बन जाते हैं?एचएम?"
431,LUKE,"Mostly because of my father, I guess.","В основном из -за моего отца, я думаю.","ज्यादातर मेरे पिता के कारण, मुझे लगता है।"
432,CREATURE,"Ah, your father. Powerful Jedi was he, powerful Jedi, mmm.","Ах, твой отец.Мощный джедай был он, могущественный джедай, ммм.","आह, तुम्हारे पिता।शक्तिशाली जेडी वह था, शक्तिशाली जेडी, एमएमएम।"
433,LUKE,"Oh, come on. How could you know my father? You  don't even know who I am.  Oh, I don't even know what I'm doing here. We're wasting our time.","О, давай.Как ты мог знать моего отца?Вы даже не знаете, кто я.О, я даже не знаю, что я здесь делаю.Мы тратим наше время.","ओह अब छोड़िए भी।आप मेरे पिता को कैसे जान सकते हैं?आप यह भी नहीं जानते कि मैं कौन हूं।ओह, मुझे यह भी नहीं पता कि मैं यहां क्या कर रहा हूं।हम अपना समय बर्बाद कर रहे हैं।"
434,CREATURE,I cannot teach him. The boy has no patience.,Я не могу научить его.У мальчика нет терпения.,मैं उसे नहीं सिखा सकता।लड़के के पास कोई धैर्य नहीं है।
435,BEN,He will learn patience.,Он узнает терпение.,वह धैर्य सीखेगा।
436,YODA,"Hmmm. Much anger in him, like his father.","Хм.Большой гнев в нем, как его отец.",हम्म।उसके पिता की तरह उसमें बहुत गुस्सा।
437,BEN,Was I any different when you taught me?,"Я был разным, когда ты меня научил?",जब आप मुझे सिखाते थे तो क्या मैं अलग था?
438,YODA,Hah. He is not ready.,Ха -хаОн не готов.,हाह।वह तैयार नहीं है।
439,LUKE,"Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I'm  ready.","Йода!Я готов.Я ... Бен!Я могу быть джедаем.Бен, скажи ему, что я готов.","योदा!मैं तैयार हूँ।मैं ... बेन!मैं जेडी हो सकता हूं।बेन, उसे बताओ कि मैं तैयार हूं।"
440,YODA,"Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!","Готовы, ты?Что ты знаешь, готов?В течение восьмисот лет я обучал джедаев.Мой собственный совет, я буду продолжать обучать!У джедаев должен быть самое глубокое обязательство, самый серьезный ум.Это долгое время я смотрел.Никогда его не думаете о том, где он был.Хм?Что он делал.HMPH.Приключение.Хе!Возбуждение.Хе!Джедай жаждет этого.Вы безрассудны!","तैयार है, क्या आप हैं?क्या आप तैयार हैं?आठ सौ वर्षों तक मैंने जेडी को प्रशिक्षित किया है।मेरे अपने वकील को मैं रखूंगा कि किसे प्रशिक्षित होना है!एक जेडी में सबसे गहरी प्रतिबद्धता होनी चाहिए, सबसे गंभीर दिमाग।यह एक लंबे समय से मैंने देखा है।वह कभी भी उसका मन नहीं था जहाँ वह था।हम्म?वह क्या कर रहा था।Hmph।साहसिक काम।हेह!उत्तेजना।हेह!एक जेडी इन चीजों को नहीं लेती है।आप लापरवाह हैं!"
441,BEN,"So was I, if you'll remember.","Так был я, если вы помните.","तो मैं था, अगर आपको याद होगा।"
442,YODA,"He is too old. Yes, too old to begin the training.","Он слишком стар.Да, слишком стар, чтобы начать обучение.","वह बहुत बूढ़ा है।हां, प्रशिक्षण शुरू करने के लिए बहुत पुराना है।"
443,LUKE,But I've learned so much.,Но я многому научился.,लेकिन मैंने बहुत कुछ सीखा है।
444,YODA,Will he finished what he begins?,"Он закончил то, что начинает?",क्या वह समाप्त हो जाएगा जो वह शुरू करता है?
445,LUKE,I won't fail you -- I'm not afraid.,Я не подведу тебя - я не боюсь.,मैं आपको असफल नहीं करूंगा - मैं डरता नहीं हूं।
446,YODA,"Oh, you will be. You will be.","О, ты будешь.Вы будете.","ओह, आप होंगे।आप।"
447,THREEPIO,"Sir, if I may venture an opinion...","Сэр, если я могу выяснить мнение ...","सर, अगर मैं एक राय का उद्यम कर सकता हूं ..."
448,HAN,"I'm not really interested in your opinion, Threepio.","Меня не очень интересует ваше мнение, Threepio.","मुझे वास्तव में आपकी राय में कोई दिलचस्पी नहीं है, तीनपियो।"
449,LEIA,There's something out there.,Там что -то есть.,वहाँ कुछ है।
450,HAN,Where?,Где?,कहाँ?
451,LEIA,"Outside, in the cave.","Снаружи, в пещере.","बाहर, गुफा में।"
452,THREEPIO,There it is. Listen! Listen!,Там это есть.Слушать!Слушать!,वहाँ है।सुनना!सुनना!
453,HAN,I'm going out there.,Я иду туда.,मैं वहाँ जा रहा हूँ।
454,LEIA,Are you crazy?!,Вы с ума сошли?!,क्या तुम पागल हो?!
455,HAN,I just got this bucket back together. I'm not going to let  something tear it apart.,Я только что вернул это ведро вместе.Я не собираюсь что -то разорвать это на части.,मुझे बस इस बाल्टी को एक साथ वापस मिला।मैं कुछ फाड़ने नहीं जा रहा हूँ।
456,LEIA,Then I'm going with you.,Тогда я пойду с тобой.,फिर मैं तुम्हारे साथ जा रहा हूँ।
457,THREEPIO,"I think it might be better if I stay here and guard the  ship.  Oh, no.","Я думаю, что это может быть лучше, если я останусь здесь и охраняю корабль.О, нет.",मुझे लगता है कि यह बेहतर हो सकता है अगर मैं यहां रहता हूं और जहाज की रक्षा करता हूं।अरे नहीं।
458,LEIA,This ground sure feels strange. It doesn't feel like rock at  all.,Эта земля наверняка кажется странной.Это совсем не похоже на рок.,यह जमीन निश्चित रूप से अजीब लगता है।यह बिल्कुल भी चट्टान की तरह महसूस नहीं करता है।
459,HAN,There's an awful lot of moisture in here.,Здесь очень много влаги.,यहाँ बहुत सारी नमी है।
460,LEIA,I don't know. I have a bad feeling about this.,Я не знаю.У меня плохое предчувствие.,मुझें नहीं पता।मुझे इस बारे मे बुरा महसूस हो रहा है।
461,HAN,Yeah.,Ага.,हाँ।
462,HAN,Watch out!,Осторожно!,ध्यान रहें!
463,HAN,"Yeah, that's what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren't any more attached. They're chewing on the power cables.","Да, это то, что я подумал.Mynock.Чуви, проверьте остальную часть корабля, убедитесь, что их больше нет.Они жуют кабели силовых кабелей.","हां मैंने भी यही सोचा था।Mynock।चेवी, जहाज के बाकी हिस्सों की जांच करें, सुनिश्चित करें कि कोई और अधिक संलग्न नहीं है।वे पावर केबल पर चब रहे हैं।"
464,LEIA,Mynocks?,Mynocks?,Mynocks?
465,HAN,Go on inside. We'll clean them off if there are any more.,"Иди внутри.Мы очистим их, если их больше.",अंदर जाओ।अगर कोई और हो तो हम उन्हें साफ कर देंगे।
466,THREEPIO,Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!,Ооо!Уходите!Уходите!Чудовищная вещь.Черт возьми!Черт возьми!,ओह्ह!दूर जाओ!दूर जाओ!जानवर की बात।शू!शू!
467,HAN,Wait a minute...,Подождите минуту...,ज़रा ठहरिये...
468,HAN,"All right, Chewie, let's get out of here!","Хорошо, Чуви, давай выйдем отсюда!","सब ठीक है, चेवी, चलो यहाँ से निकल जाओ!"
469,LEIA,The Empire is still out there. I don't think it's wise to...,"Империя все еще там.Я не думаю, что это мудро ...",साम्राज्य अभी भी बाहर है।मुझे नहीं लगता कि यह बुद्धिमान है ...
470,HAN,No time to discuss this as a committee.,Нет времени обсудить это как комитет.,एक समिति के रूप में इस पर चर्चा करने का समय नहीं।
471,LEIA,I am not a committee!,Я не комитет!,मैं एक समिति नहीं हूँ!
472,LEIA,You can't make the jump to light-speed in this asteroid field...,Вы не можете сделать прыжок к свету в этом астероидном поле ...,आप इस क्षुद्रग्रह क्षेत्र में लाइट-स्पीड के लिए कूद नहीं कर सकते ...
473,HAN,"Sit down, sweetheart. We're taking off!","Сядь, дорогая.Мы взлетаем!","बैठो, जानेमन।हम उतार रहे हैं!"
474,THREEPIO,Look!,Смотреть!,देखना!
475,HAN,"I see it, I see it.","Я вижу это, я это вижу.","मैं इसे देखता हूं, मैं इसे देखता हूं।"
476,THREEPIO,We're doomed!,Мы обречены!,हम बर्बाद हो रहे हैं!
477,LEIA,The cave is collapsing.,Пещера рушится.,गुफा ढह रही है।
478,HAN,This is no cave.,Это не пещера.,यह कोई गुफा नहीं है।
479,LEIA,What?,Что?,क्या?
480,YODA,"Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice.","Бегать!Да.Сила джедая вытекает из силы.Но остерегайтесь темной стороны.Гнев ... страх ... агрессия.Темная сторона силы они.Легко они текут, быстро присоединиться к вам в драке.Если после того, как вы начнете по темному пути, навсегда он будет доминировать в вашей судьбе, потребляйте вас, как это произошло, как это произошло.","दौड़ना!हाँ।एक जेडी की ताकत बल से बहती है।लेकिन अंधेरे पक्ष से सावधान रहें।गुस्सा ... डर ... आक्रामकता।बल का अंधेरा पक्ष वे हैं।आसानी से वे बहते हैं, एक लड़ाई में आपके साथ जुड़ने के लिए जल्दी।यदि एक बार जब आप अंधेरे पथ को शुरू करते हैं, तो हमेशा के लिए यह आपके भाग्य पर हावी हो जाएगा, आप इसका उपभोग करेंगे, जैसा कि ओबी-वान के प्रशिक्षु ने किया था।"
481,LUKE,Vader. Is the dark side stronger?,Вейдер.Темная сторона сильнее?,वाडर।क्या अंधेरा पक्ष मजबूत है?
482,YODA,"No...no...no. Quicker, easier, more seductive.","Нет нет нет.Быстрее, проще, более соблазнительно.","नहीं, नहीं, नहीं।तेज, आसान, अधिक मोहक।"
483,LUKE,But how am I to know the good side from the bad?,Но как мне знать хорошую сторону от плохого?,लेकिन मैं बुरे से अच्छे पक्ष को कैसे जानता हूं?
484,YODA,"You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack.","Ты узнаешь.Когда ты спокоен, в мире.Пассивный.Джедай использует силу для знаний и защиты, никогда не для атаки.","आपको पता चल जाएगा।जब आप शांत होते हैं, तो शांति से।निष्क्रिय।एक जेडी ज्ञान और रक्षा के लिए बल का उपयोग करता है, कभी भी हमले के लिए नहीं।"
485,LUKE,But tell me why I can't...,"Но скажи мне, почему я не могу ...",लेकिन मुझे बताओ कि मैं क्यों नहीं कर सकता ...
486,YODA,"No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm.","Нет, нет, нет почему.Больше я не буду научить тебя сегодня.Очистите свой разум вопросов.М-м-м.Мммммм.","नहीं, नहीं, कोई क्यों नहीं है।आज मैं आपको सिखाऊंगा।अपने सवालों के दिमाग को साफ करें।मम्म।Mmmmmm।"
487,LUKE,There's something not right here.,Здесь что -то не так.,यहाँ कुछ नहीं है।
488,LUKE,"I feel cold, death.","Мне холодно, смерть.","मुझे ठंड, मौत लगता है।"
489,YODA,That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go.,Это место ... сильное с темной стороной силы.Домен зла.В тебе должен идти.,वह जगह ... बल के अंधेरे पक्ष के साथ मजबूत है।बुराई का एक डोमेन यह है।आप में जाना चाहिए।
490,LUKE,What's in there?,Что там?,वहाँ क्या है?
491,YODA,Only what you take with you.,"Только то, что вы берете с собой.",केवल आप अपने साथ क्या लेते हैं।
492,YODA,Your weapons...you will not need them.,Ваше оружие ... оно вам не понадобится.,आपके हथियार ... आपको उनकी आवश्यकता नहीं होगी।
493,PIETT,Bounty hunters. We don't need that scum.,Охотники за головами.Нам не нужна эта мрака.,इनामी शिकारी।हमें उस मैल की जरूरत नहीं है।
494,FIRST CONTROLLER,"Yes, sir.",Да сэр.,जी श्रीमान।
495,PIETT,Those Rebels won't escape us.,Эти повстанцы не избежат нас.,वे विद्रोही हमसे बच नहीं पाएंगे।
496,SECOND CONTROLLER,"Sir, we have a priority signal from the Star  Destroyer Avenger.","Сэр, у нас есть приоритетный сигнал от Avenger Star Destesser.","महोदय, हमारे पास स्टार डिस्ट्रॉयर एवेंजर से एक प्राथमिकता संकेत है।"
497,PIETT,Right.,Верно.,सही।
498,VADER,"...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations.","... Там будет существенная награда за того, кто находит сокол тысячелетия.Вы можете использовать любые необходимые методы, но я хочу, чтобы они живы.Нет распад.","... मिलेनियम फाल्कन को ढूंढने वाले के लिए एक पर्याप्त इनाम होगा।आप आवश्यक किसी भी तरीके का उपयोग करने के लिए स्वतंत्र हैं, लेकिन मैं उन्हें जीवित चाहता हूं।कोई विघटन नहीं।"
499,BOBA FETT,As you wish.,Как хочешь.,जैसी आपकी इच्छा।
500,PIETT,"Lord Vader! My lord, we have them.","Лорд Вейдер!Мой Господь, они у нас есть.","लॉर्ड वाडर!मेरे भगवान, हमारे पास है।"
501,THREEPIO,"Oh, thank goodness we're coming out of the asteroid field.","О, слава богу, мы выходим из астероидного поля.","ओह, धन्यवाद, हम क्षुद्रग्रह क्षेत्र से बाहर आ रहे हैं।"
502,HAN,Let's get out of here. Ready for light-speed? One...two...three!,Давай выбираться отсюда.Готовы к скорости света?Один два три!,यहाँ से बाहर हो जाओ।प्रकाश-गति के लिए तैयार हैं?एक दो तीन!
503,HAN,It's not fair!,Это нечестно!,यह उचित नहीं है!
504,HAN,The transfer circuits are working. It's not my fault!,Работа работают.Это не моя вина!,ट्रांसफर सर्किट काम कर रहे हैं।यह मेरी गलती नहीं है!
505,LEIA,No light-speed?,Нет световой скорости?,कोई प्रकाश-गति नहीं?
506,HAN,It's not my fault.,Это не моя вина.,यह मेरी गलती नहीं है।
507,THREEPIO,"Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and we're done for.","Сэр, мы только что потеряли главный задний дефлекторный щит.Еще один прямой удар в задней части, и мы зашли.","महोदय, हम सिर्फ मुख्य रियर डिफ्लेक्टर शील्ड को खो देते हैं।बैक क्वार्टर पर एक और प्रत्यक्ष हिट और हम के लिए किया गया है।"
508,HAN,Turn her around.,Перевернуть ее.,उसे चारों ओर घुमाएं।
509,HAN,I said turn her around! I'm going to put all power in the front  shield.,"Я сказал, переверните ее!Я собираюсь положить всю мощность в передний щит.",मैंने कहा कि उसे घुमाएं!मैं फ्रंट शील्ड में सारी शक्ति डालने जा रहा हूं।
510,LEIA,You're going to attack them?!,Ты собираешься атаковать их?!,आप उन पर हमला करने जा रहे हैं?!
511,THREEPIO,"Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer...","Сэр, шансы пережить прямое нападение на эсминца имперской звезды ...","महोदय, एक शाही स्टार विध्वंसक पर एक प्रत्यक्ष हमले से बचने की संभावना ..."
512,LEIA,Shut up!,Замолчи!,चुप रहो!
513,NEEDA,They're moving to attack position. Shields up!,Они переходят в положение атаки.Щит!,वे हमले की स्थिति में जा रहे हैं।ढालें!
514,NEEDA,"Track them,. They may come around for another pass.","Отслеживать их,.Они могут прийти на другой проход.","उन्हें ट्रैक करें ,।वे एक और पास के लिए चारों ओर आ सकते हैं।"
515,TRACKING OFFICER,"Captain Needa, the ship no longer appears on our  scopes.","Капитан Кудю, корабль больше не появляется на наших областях.","कैप्टन नीड, जहाज अब हमारे स्कोप पर दिखाई नहीं देता है।"
516,NEEDA,They can't have disappeared. No ship that small has a cloaking  device.,"Они не могли исчезнуть.Никакой корабль, который маленький, не имеет устройства маскировки.",वे गायब नहीं हो सकते।आवरण डिवाइस वाला कोई शिप इतना छोटा नहीं है।
517,TRACKING OFFICER,"Well, there's no trace of them, sir.","Ну, их нет, сэр.","खैर, उनमें से कोई निशान नहीं है, सर।"
518,COMMUNICATIONS OFFICER,"Captain, Lord Vader demands an update on the  pursuit.","Капитан, лорд Вейдер требует обновления о преследовании.","कैप्टन, लॉर्ड वाडर ने पीछा करने पर एक अद्यतन की मांग की।"
519,NEEDA,"Get a shuttle ready. I shall assume full  responsibility for losing them, and apologize to Lord Vader. Meanwhile, continue to scan the area.","Подготовьте шаттл.Я возьму на себя полную ответственность за потерю их, и извиняюсь перед лордом Вейдером.Тем временем продолжайте сканировать область.","एक शटल तैयार हो जाओ।मैं उन्हें खोने के लिए पूरी जिम्मेदारी मानूंगा, और भगवान वाडर से माफी मांगूंगा।इस बीच, क्षेत्र को स्कैन करना जारी रखें।"
520,COMMUNICATIONS OFFICER,"Yes, Captain Needa.","Яс, дай капитану.","यास, कप्तान दे दो।"
521,YODA,Use the Force. Yes...,Используй силу.Да...,ताकत आजमाओ।हाँ...
522,YODA,Now...the stone. Feel it.,Теперь ... камень.Почувствуйте это.,अब ... पत्थर।इसे महसूस करें।
523,YODA,Concentrate!,Концентрируйтесь!,ध्यान केंद्रित करना!
524,LUKE,"Oh, no. We'll never get it out now.","О, нет.Мы никогда не выберем это сейчас.",अरे नहीं।हम इसे अब कभी नहीं निकालेंगे।
525,YODA,So certain are you. Always with you it cannot be done. Hear you  nothing that I say?,"Так что вы уверены.Всегда с тобой это не может быть сделано.Услышь тебя ничего, что я говорю?",तो कुछ आप हैं।हमेशा आपके साथ यह नहीं किया जा सकता है।तुम कुछ भी नहीं सुनो जो मैं कहता हूँ?
526,LUKE,"Master, moving stones around is one thing. This is totally  different.","Мастер, движущиеся камни вокруг - это одно.Это совершенно по -другому.","मास्टर, घूमने वाले पत्थर एक बात है।यह पूरी तरह से अलग है।"
527,YODA,No! No different! Only different in your mind. You must unlearn  what you have learned.,"Нет!Без разницы!Только в твоем голове.Вы должны отучить то, что вы узнали.",नहीं!कुछ अलग नही है!आपके दिमाग में केवल अलग है।आपने जो सीखा है उसे भूल जाना चाहिए।
528,LUKE,"All right, I'll give it a try.","Хорошо, я попробую.","ठीक है, मैं इसे एक कोशिश दूंगा।"
529,YODA,No! Try not. Do. Or do not. There is no try.,Нет!Попробуйте не.Делать.Или нет.Там нет попытки.,नहीं!कोशिश ना करें।करना।या नहीं।वहां कोई प्रयास नहीं हुआ।
530,LUKE,I can't. It's too big.,Я не могу.Это слишком большое.,मैं नहीं कर सकता।यह बहुत बड़ा है।
531,YODA,"Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm.","Размер не имеет значения.Посмотри на меня.Судить меня по моему размеру, а ты?HM?Мммм.","आकार मायने नहीं रखता।मेरी तरफ देखो।मेरे आकार से फैसला करें, क्या आपको करना है?एचएम?मम्म।"
532,YODA,"And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!","И хорошо, ты не должен.Для моего союзника в силе.И это мощный союзник.Жизнь создает это, заставляет его расти.Это энергия окружает нас и связывает нас.Светящиеся существа мы ... не это грубое дело.Вы должны почувствовать силу вокруг себя.Здесь между тобой ... я ... Дерево ... Скала ... везде!Да, даже между этой землей и этим кораблем!","और अच्छी तरह से आपको नहीं करना चाहिए।बल में मेरे सहयोगी के लिए।और एक शक्तिशाली सहयोगी यह है।जीवन इसे बनाता है, इसे बढ़ता है।यह ऊर्जा हमें घेर लेती है और हमें बांधती है।चमकदार प्राणी हम हैं ...... यह कच्चा मामला नहीं है।आपको अपने आस -पास के बल को महसूस करना चाहिए।यहाँ, तुम्हारे बीच ... मुझे ... पेड़ ... चट्टान ... हर जगह!हाँ, इस भूमि और उस जहाज के बीच भी!"
533,LUKE,You want the impossible.,Вы хотите невозможно.,आप असंभव चाहते हैं।
534,LUKE,I don't...I don't believe it.,Я не ... я не верю в это.,मैं नहीं ... मुझे यह विश्वास नहीं है।
535,YODA,That is why you fail.,Вот почему вы терпите неудачу.,इसलिए आप असफल हो जाते हैं।
536,VADER,"Apology accepted, Captain Needa.","Извинения приняты, капитан Пуны.","माफी स्वीकार की, कैप्टन नीडा।"
537,PIETT,"Lord Vader, our ships have completed their scan of the area and  found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now.","Лорд Вейдер, наши корабли завершили свое сканирование области и ничего не нашли.Если «Сокол тысячелетия» поступил в легкую скорость, он уже будет на другой стороне галактики.","लॉर्ड वाडर, हमारे जहाजों ने क्षेत्र का अपना स्कैन पूरा कर लिया है और कुछ भी नहीं मिला।यदि मिलेनियम फाल्कन प्रकाश-गति में चला गया, तो यह अब तक आकाशगंगा के दूसरी तरफ होगा।"
538,VADER,Alert all commands. Calculate every possible destination along  their last know trajectory.,Предупредить все команды.Рассчитайте все возможные пункты назначения по их последней известной траектории.,सभी आदेशों को सचेत करें।उनके अंतिम पता प्रक्षेपवक्र के साथ हर संभव गंतव्य की गणना करें।
539,PIETT,"Yes, my lord. We'll find them.",Да мой Лорд.Мы найдем их.,जी महाराज।हम उन्हें ढूंढेंगे।
540,VADER,"Don't fail me again, Admiral.","Не подведи меня снова, адмирал.","मुझे फिर से असफल मत करो, एडमिरल।"
541,PIETT,Alert all commands. Deploy the fleet.,Предупредить все команды.Развернуть флот.,सभी आदेशों को सचेत करें।बेड़े को तैनात करें।
542,THREEPIO,"Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesn't anyone listen to me?","Капитан Соло, на этот раз вы зашли слишком далеко.Нет, я не буду тихо, Чубакка.Почему меня никто не слушает?","कैप्टन सोलो, इस बार आप बहुत दूर चले गए हैं।नहीं, मैं शांत नहीं रहूंगा, Chewbacca।कोई मेरी बात क्यों नहीं सुनता?"
543,HAN,The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw.,Флот начинает расставаться.Вернитесь назад и встаньте за ручной релиз для посадочного коготь.,बेड़ा टूटने लगा है।लैंडिंग क्लॉ के लिए मैनुअल रिलीज़ द्वारा वापस जाएं और खड़े रहें।
